Word;F1;F2;Participant
Bat;705;1388;1
Bet;579;1627;1
Beet;265;2071;1
Bit;431;1863;1
Bought;683;877;1
Boot;250;849;1
Bat;764;1248;1
Bet;587;1590;1
Beet;255;2126;1
Bit;427;1829;1
Bought;581;910;1
Bat;738;1349;1
Bet;582;1618;1
Beet;271;2079;1
Bit;438;1829;1
Bought;598;957;1
Boot;260;959;1
Bat;712;1558;2
Bet;590;1593;2
Beet;247;2064;2
Bit;418;1718;2
Boot;339;987;2
Bat;673;1600;2
Bet;594;1554;2
Beet;268;2007;2
Bit;449;1708;2
Bought;609;947;2
Boot;355;1125;2
Bat;692;1580;2
Bet;572;1604;2
Beet;261;2065;2
Bit;456;1693;2
Bought;586;950;2
Boot;322;1055;2
Bat;701;1552;2
Bet;598;1596;2
Beet;261;2054;2
Bit;477;1698;2
Bought;605;986;2
Boot;332;1157;2
Bat;685;1501;3
Bet;571;1624;3
Beet;253;2325;3
Bit;414;1878;3
Bought;663;1071;3
Boot;313;1304;3
Bat;723;1572;3
Bet;624;1695;3
Beet;264;2342;3
Bit;383;1784;3
Boot;292;1271;3
Bat;752;1605;3
Bet;593;1661;3
Beet;247;2311;3
Bit;435;1808;3
Bought;637;1061;3
Boot;323;1373;3
Bat;761;1558;3
Bet;598;1616;3
Beet;291;2201;3
Bit;441;1833;3
Bought;669;1127;3
Boot;328;1339;3
Bat;823;1463;4
Bet;699;1661;4
Beet;235;2460;4
Bit;443;1939;4
Bought;705;1069;4
Boot;347;1277;4
Bat;824;1570;4
Bet;677;1663;4
Beet;229;2434;4
Bit;466;2014;4
Bought;702;1126;4
Boot;336;1415;4
Bat;774;1514;4
Bet;648;1711;4
Beet;227;2469;4
Bit;450;1974;4
Bought;698;1089;4
Boot;352;1235;4
Bat;879;1813;5
Bet;658;1708;5
Beet;244;2436;5
Bit;530;2112;5
Bought;727;1091;5
Boot;365;1590;5
Bat;973;1659;5
Bet;689;1913;5
Beet;294;2573;5
Bit;430;2140;5
Bought;816;1199;5
Boot;341;1473;5
Bat;923;1576;5
Bet;721;1929;5
Beet;285;2358;5
Bit;514;2046;5
Bought;806;1153;5
Boot;359;1473;5
Bat;859;1655;6
Bet;677;1815;6
Beet;391;2942;6
Bit;473;2113;6
Bought;653;1107;6
Boot;415;1510;6
Bat;954;1620;6
Bet;757;1871;6
Beet;414;2976;6
Bit;589;2080;6
Bought;640;1058;6
Boot;403;1450;6
Bat;916;1593;6
Bet;747;1937;6
Beet;404;2954;6
Bit;555;2239;6
Bought;683;1141;6
Boot;416;1575;6
Bat;889;1721;7
Bet;653;1807;7
Beet;273;2407;7
Bit;472;2011;7
Bought;739;1072;7
Boot;365;1426;7
Bat;856;1681;7
Bet;649;1770;7
Beet;254;2389;7
Bit;469;2014;7
Bought;722;1105;7
Boot;351;1530;7
Bat;825;1551;7
Bet;640;1845;7
Beet;268;2349;7
Bit;440;2031;7
Bought;713;1119;7
Boot;358;1673;7